Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,OpenOU,,CloseOU,
328,921,V,DET,JZIMMERMANN-R,0,0,0,0,0,0,0,0,0,2,126,132,+1.5(-152),9,-110,8.5,-120
328,922,H,TOR,MSTROMAN-R,0,0,0,0,0,0,0,0,0,0,-140,-142,-1.5(+133),9,-110,8.5,100
328,923,V,HOU,JVERLANDER-R,0,0,3,1,1,0,0,0,0,5,-121,-128,-1.5(+133),6.5,-110,7,100
328,924,H,TAM,BSNELL-L,1,0,0,0,0,0,0,0,0,1,110,118,+1.5(-152),6.5,-110,7,-120
328,925,V,LAA,TCAHILL-R,0,0,0,0,0,0,0,0,0,0,110,-108,-1.5(+144),9,-110,8.5,-115
328,926,H,OAK,MFIERS-R,0,1,1,1,0,1,0,0,x,4,-121,-102,+1.5(-165),9,-110,8.5,-105
328,927,V,CLE,CKLUBER-R,0,0,0,0,0,0,0,0,0,0,-135,107,+1.5(-210),7.5,-110,7.5,110
328,928,H,MIN,JBERRIOS-R,0,0,0,0,0,0,2,0,x,2,122,-117,-1.5(+176),7.5,-110,7.5,-130
328,929,V,CWS,CRODON-L,0,0,0,0,0,0,0,0,3,3,104,106,+1.5(-195),8.5,-110,8.5,-105
328,930,H,KAN,BKELLER-R,0,0,0,1,0,2,2,0,x,5,-114,-116,-1.5(+166),8.5,-110,8.5,-115
328,931,V,BOS,CSALE-L,1,1,0,0,0,2,0,0,0,4,-185,-210,-1.5(-125),7,-110,7,-110
328,932,H,SEA,MGONZALES-L,0,3,4,0,1,2,2,0,x,12,166,190,+1.5(+105),7,-110,7,-110
328,933,V,CUB,JLESTER-L,0,0,0,1,6,2,1,2,0,12,-135,-115,-1.5(+132),9.5,-110,9.5,100
328,934,H,TEX,MMINOR-L,0,0,2,0,0,0,0,0,2,4,122,105,+1.5(-152),9.5,-110,9.5,-120
329,951,V,COL,GMARQUEZ-R,0,0,0,0,0,1,1,0,4,6,-155,-152,-1.5(+105),7.5,-110,7,-110
329,952,H,MIA,TRICHARDS-R,0,0,0,1,0,0,0,0,0,1,135,142,+1.5(-126),7.5,-110,7,-110
329,953,V,STL,JFLAHERTY-R,3,0,0,1,0,1,3,1,0,9,106,-108,-1.5(+140),8.5,-110,8.5,105
329,954,H,MIL,FPERALTA-R,0,0,3,1,0,0,0,1,0,5,-126,-102,+1.5(-160),8.5,-110,8.5,-125
329,955,V,SFO,DHOLLAND-L,0,0,0,0,0,0,0,0,1,1,130,145,+1.5(-150),7.5,-110,7.5,100
329,956,H,SDG,JLUCCHESI-L,0,2,1,0,1,0,0,0,x,4,-150,-155,-1.5(+130),7.5,-110,7.5,-120
329,957,V,ARI,RRAY-L,0,0,0,0,0,0,3,1,0,5,144,160,+1.5(-145),7.5,-110,7,-115
329,958,H,LAD,RSTRIPLING-R,0,1,2,0,0,0,1,0,0,4,-165,-170,-1.5(+125),7.5,-110,7,-105
329,959,V,DET,MBOYD-L,0,0,0,0,0,0,0,0,0,0,115,111,+1.5(-180),9,-110,9,100
329,960,H,TOR,MSHOEMAKER-R,0,0,0,4,0,0,2,0,x,6,-135,-121,-1.5(+155),9,-110,9,-120
329,961,V,HOU,GCOLE-R,0,0,2,0,0,0,0,0,0,2,-145,-138,-1.5(+118),7,-110,7,-125
329,962,H,TAM,CMORTON-R,0,0,3,0,0,1,0,0,x,4,125,128,+1.5(-138),7,-110,7,105
329,963,V,LAA,MHARVEY-R,0,0,0,0,0,0,0,4,2,6,101,-109,-1.5(+151),8,-110,8.5,-120
329,964,H,OAK,MESTRADA-R,0,0,0,0,0,2,0,0,0,2,-121,-101,+1.5(-175),8,-110,8.5,100
329,965,V,BOS,NEOVALDI-R,0,1,0,0,1,1,0,1,3,7,-150,-139,-1.5(+115),8,-110,8,100
329,966,H,SEA,YKIKUCHI-L,2,1,0,3,0,0,0,0,0,6,130,129,+1.5(-135),8,-110,8,-120
330,901,V,NYM,NSYNDERGAARD-R,3,1,0,0,0,0,0,4,3,11,110,102,+1.5(-220),7,-110,7.5,-105
330,902,H,WAS,SSTRASBURG-R,1,0,2,0,0,1,0,0,4,8,-130,-112,-1.5(+184),7,-110,7.5,-115
330,905,V,ATL,BWILSON-R,1,2,0,0,1,0,0,0,2,6,125,135,+1.5(-160),8.5,-110,9,-120
330,906,H,PHI,NPIVETTA-R,0,1,0,3,2,0,1,1,x,8,-145,-145,-1.5(+140),8.5,-110,9,100
330,907,V,COL,TANDERSON-L,0,0,2,0,0,1,0,0,0,3,-145,-128,-1.5(+124),8,-110,7.5,105
330,908,H,MIA,PLOPEZ-R,0,2,0,3,0,0,2,0,x,7,125,118,+1.5(-144),8,-110,7.5,-125
330,909,V,STL,DHUDSON-R,0,0,1,1,0,0,0,0,0,2,105,122,+1.5(-170),8.5,-110,9,-105
330,910,H,MIL,BWOODRUFF-R,1,0,3,0,0,0,0,0,x,4,-125,-132,-1.5(+147),8.5,-110,9,-115
330,911,V,SFO,DRODRIGUEZ-R,0,0,0,0,0,3,0,0,0,3,105,120,+1.5(-190),7.5,-110,7.5,-125
330,912,H,SDG,NMARGEVICIUS-L,0,0,0,0,0,2,0,0,0,2,-125,-130,-1.5(+163),7.5,-110,7.5,105
330,913,V,ARI,ZGODLEY-R,1,0,0,0,1,0,1,2,0,5,151,177,+1.5(-120),7.5,-110,7.5,-120
330,914,H,LAD,KMAEDA-R,1,0,4,0,1,5,0,7,x,18,-175,-194,-1.5(+100),7.5,-110,7.5,100
330,915,V,BAL,NKARNS-R,0,0,0,0,0,2,1,0,2,5,299,340,+1.5(+155),8.5,-110,8.5,-105
330,916,H,NYY,JPAXTON-L,0,0,0,1,0,0,0,0,2,3,-375,-410,-1.5(-180),8.5,-110,8.5,-115
330,917,V,CLE,TBAUER-R,0,0,0,1,0,0,0,0,1,2,-110,-120,-1.5(+135),8,-110,7,-110
330,918,H,MIN,JODORIZZI-R,0,0,0,1,0,0,0,0,0,1,-110,110,+1.5(-155),8,-110,7,-110
330,919,V,CWS,RLOPEZ-R,0,0,0,0,0,3,3,0,0,6,-105,120,+1.5(-180),8.5,-110,7.5,-105
330,920,H,KAN,JJUNIS-R,0,0,3,0,1,4,0,0,x,8,-115,-130,-1.5(+155),8.5,-110,7.5,-115
330,921,V,DET,STURNBULL-R,0,0,0,0,0,0,0,0,0,0,120,116,+1.5(-183),9,-110,8.5,-120
330,922,H,TOR,ASANCHEZ-R,0,0,0,3,0,0,0,0,x,3,-140,-126,-1.5(+158),9,-110,8.5,100
330,923,V,HOU,CMCHUGH-R,1,0,0,0,0,0,0,0,0,1,-130,-118,-1.5(+141),7.5,-110,8,-125
330,924,H,TAM,TGLASNOW-R,0,0,0,0,2,0,0,1,x,3,110,108,+1.5(-161),7.5,-110,8,105
330,925,V,LAA,FPENA-R,0,0,0,0,0,0,0,2,0,2,105,109,+1.5(-195),8.5,-110,8.5,-105
330,926,H,OAK,BANDERSON-L,0,0,2,2,0,0,0,0,x,4,-125,-119,-1.5(+166),8.5,-110,8.5,-115
330,927,V,BOS,ERODRIGUEZ-L,0,1,1,0,0,0,0,0,3,5,-150,-158,-1.5(-112),8.5,-110,8.5,100
330,928,H,SEA,MLEAKE-R,2,0,0,1,3,0,0,0,x,6,130,148,+1.5(-108),8.5,-110,8.5,-120
330,929,V,CUB,YDARVISH-R,3,0,1,0,2,0,0,0,0,6,-150,-155,-1.5(-115),9.5,-110,9.5,100
330,930,H,TEX,EVOLQUEZ-R,0,1,2,0,0,0,2,3,x,8,130,145,+1.5(-105),9.5,-110,9.5,-120
331,951,V,PIT,JMUSGROVE-R,1,1,1,0,0,0,0,2,0,5,120,125,+1.5(-180),8.5,-119,8,-115
331,952,H,CIN,SGRAY-R,0,0,0,0,0,0,0,0,0,0,-140,-135,-1.5(+155),8.5,-101,8,-105
331,953,V,COL,JGRAY-R,0,0,0,0,0,0,0,0,0,0,-150,-158,-1.5(+110),7.5,-119,7.5,-105
331,954,H,MIA,SALCANTARA-R,0,0,0,2,0,0,1,0,x,3,130,148,+1.5(-130),7.5,-101,7.5,-115
331,955,V,NYM,ZWHEELER-R,0,0,1,0,0,1,0,3,0,5,110,155,+1.5(-145),7.5,-119,7,-110
331,956,H,WAS,PCORBIN-L,0,0,3,0,1,1,0,0,1,6,-130,-165,-1.5(+125),7.5,-101,7,-110
331,957,V,STL,MWACHA-R,0,0,0,2,2,0,0,0,0,4,100,100,+1.5(-215),8,-110,9,105
331,958,H,MIL,CBURNES-R,1,0,0,0,0,0,2,0,2,5,-120,-110,-1.5(+180),8,-110,9,-125
331,959,V,ARI,LWEAVER-R,0,0,0,7,0,0,0,0,0,7,192,177,+1.5(-125),7.5,-115,7.5,-110
331,960,H,LAD,WBUEHLER-R,3,0,1,1,0,0,0,3,x,8,-230,-194,-1.5(+105),7.5,-105,7.5,-110
331,961,V,SFO,JSAMARDZIJA-R,0,0,0,0,1,0,0,0,0,1,125,162,+1.5(-131),8,-120,7.5,-105
331,962,H,SDG,CPADDACK-R,0,0,0,0,1,0,1,1,x,3,-145,-174,-1.5(+111),8,100,7.5,-115
331,963,V,ATL,KWRIGHT-R,0,0,1,0,0,0,0,0,0,1,130,130,+1.5(-159),8.5,-119,8,-120
331,964,H,PHI,JARRIETA-R,0,0,1,0,2,0,2,0,x,5,-150,-140,-1.5(+139),8.5,-101,8,100
331,965,V,BAL,DBUNDY-R,3,0,1,0,1,0,0,2,0,7,281,280,+1.5(+129),9,-101,8.5,-105
331,966,H,NYY,JHAPP-L,0,0,0,3,0,0,1,0,1,5,-350,-320,-1.5(-149),9,-119,8.5,-115
331,967,V,DET,MMOORE-L,0,0,0,0,0,0,3,0,0,4,115,142,+1.5(-135),9,-120,9,-115
331,968,H,TOR,TTHORNTON-R,0,0,0,0,0,0,0,3,0,3,-135,-152,-1.5(+115),9,100,9,-105
331,969,V,HOU,WMILEY-L,0,0,1,0,0,0,0,0,0,1,-119,-113,-1.5(+140),8,-110,8.5,-110
331,970,H,TAM,YCHIRINOS-R,1,0,2,0,0,0,0,0,x,3,-101,103,+1.5(-160),8,-110,8.5,-110
331,971,V,CLE,CCARRASCO-R,0,0,0,0,0,0,0,3,0,3,-115,-110,-1.5(+148),7,-120,7,-115
331,972,H,MIN,MPINEDA-R,0,1,0,2,5,0,0,1,x,9,-105,100,+1.5(-170),7,100,7,-105
331,973,V,CWS,LGIOLITO-R,0,0,0,2,0,2,2,0,0,6,-105,117,+1.5(-180),9,-110,8,-120
331,974,H,KAN,JLOPEZ-R,0,0,0,0,0,0,2,1,0,3,-115,-127,-1.5(+155),9,-110,8,100
331,975,V,LAA,TSKAGGS-L,0,0,0,0,0,1,0,0,0,1,-110,114,+1.5(-190),9,-101,8.5,-105
331,976,H,OAK,FMONTAS-R,0,0,0,1,1,0,0,0,x,2,-110,-124,-1.5(+163),9,-119,8.5,-115
331,977,V,BOS,RPORCELLO-R,3,0,0,3,0,1,0,0,1,8,-150,-136,-1.5(+120),9,100,8,-120
331,978,H,SEA,WLEBLANC-L,0,2,7,1,0,0,0,0,x,10,130,126,+1.5(-140),9,-120,8,100
331,979,V,CUB,CHAMELS-L,0,1,2,1,0,4,0,2,0,10,-155,-130,-1.5(+120),9.5,-101,8.5,-120
331,980,H,TEX,LLYNN-R,0,0,0,5,0,1,4,0,1,11,135,120,+1.5(-140),9.5,-119,8.5,100
401,901,V,STL,AWAINWRIGHT-R,0,0,0,0,0,0,3,1,1,6,110,116,+1.5(-200),8,100,7.5,105
401,902,H,PIT,CARCHER-R,3,0,1,0,0,0,0,1,0,5,-130,-126,-1.5(+170),8,-120,7.5,-125
401,903,V,MIL,ZDAVIES-R,3,0,0,0,0,0,0,0,1,4,105,-109,-1.5(+148),8.5,-110,8.5,-125
401,904,H,CIN,TROARK-R,0,0,0,0,2,1,0,0,0,3,-125,-101,+1.5(-170),8.5,-110,8.5,105
401,905,V,CUB,KHENDRICKS-R,0,0,0,0,0,0,0,0,0,0,-115,100,+1.5(-210),8.5,100,8,-115
401,906,H,ATL,SNEWCOMB-L,4,0,1,0,2,1,0,0,x,8,-105,-110,-1.5(+176),8.5,-120,8,-105
401,907,V,NYM,SMATZ-L,0,1,0,1,0,0,1,0,4,7,-150,-125,-1.5(+124),8,100,7.5,-105
401,908,H,MIA,CSMITH-L,2,0,0,0,0,1,0,0,0,3,130,115,+1.5(-144),8,-120,7.5,-115
401,909,V,SFO,DPOMERANZ-L,0,0,0,0,0,1,3,0,0,4,172,185,+1.5(-117),8,-109,7.5,-115
401,910,H,LAD,JURIAS-L,0,0,0,0,2,0,0,0,0,2,-205,-205,-1.5(-103),8,-111,7.5,-105
401,911,V,ARI,MKELLY-R,2,1,2,0,4,0,1,0,0,10,140,155,+1.5(-145),7.5,-110,7.5,-115
401,912,H,SDG,MSTRAHM-L,0,0,0,0,0,3,0,0,0,3,-160,-165,-1.5(+125),7.5,-110,7.5,-105
401,913,V,CWS,INOVA-R,0,0,0,0,0,0,0,3,0,3,148,150,+1.5(-150),7.5,100,7.5,-105
401,914,H,CLE,MCLEVINGER-R,0,0,0,0,0,1,0,4,x,5,-170,-160,-1.5(+130),7.5,-120,7.5,-115
